App Number,Company Name,"City, State, Zip",Address,Contact Person,Phone Number,Email
CA-thirdround_2023,"400 Capitol Mall, Suite 900","Sacramento, CA 95814",Ahamadou Bocar,9164429100,9164429103,
CA-thirdround_2023,"249 E. Ocean Blvd., Suite 800","Long Beach, CA 90802",Justin Chubb Lurya,562-256-2337,,
CA-thirdround_2023,,,,,,
CA-thirdround_2023,"211 E Ocean Blvd, 6th Floor","Long Beach, CA 90802",Justin Chubb Luyra,562-256-2337,,
CA-thirdround_2023,"211 E Ocean Blvd, 6th Floor","Long Beach, CA 90802",Justin Chubb Luyra,562-256-2337,,
CA-thirdround_2023,9261 Sierra College Blvd,"Roseville, CA 95661",Justin Gierth,9167512900,,
CA-thirdround_2023,"10100 Trinity Parkway, Suite 310","Stockton, California 95219","Tara Eastwood, CPA",209-473-1040,209-473-9771,
CA-thirdround_2023,"6700 Antioch Road, Suite 450","Merriam, KS 66204","Craig Staswick, CPA",(562) 265-3555,,
CA-thirdround_2023,"6700 Antioch Rd, Suite 450","Merriam, KS 66204","Kimberly Doan, CPA",9169305205,,
CA-thirdround_2023,621 Capital Mall Ste 2150,"Sacramento, CA 95814","Brian Brewer, CPA",916-930-5758,916-442-9103,
CA-thirdround_2023,"4487 N. Dresden Place, Ste. 101","Boise, ID 83714",Marshall Bratton,208.375.6490,208.375.6593,
CA-thirdround_2023,"400 Capitol Mall, Suite #2150","Sacramento, CA 95814",Brian Brewer,(916) 930-5758,(916) 442-9103,
CA-thirdround_2023,"4487 N. Dresden Place, Ste. 101","Boise, ID 83714",Marshall Bratton,208.375.6490,208.375.6593,
CA-thirdround_2023,"4487 N. Dresden Place, Ste. 101","Boise, ID 83714",Marshall Bratton,208.375.6490,208.375.6593,
CA-thirdround_2023,"4487 N. Dresden Place, Ste. 101","Boise, ID 83714",Marshall Bratton,208.375.6490,208.375.6593,
CA-thirdround_2023,"4487 N. Dresden Place, Ste. 101","Boise, ID 83714",Marshall Bratton,208.375.6490,208.375.6593,
CA-thirdround_2023,"4487 N. Dresden Place, Ste. 101","Boise, ID 83714",Marshall Bratton,208.375.6490,208.375.6593,
CA-thirdround_2023,"4487 N. Dresden Place, Ste. 101","Boise, ID 83714",Marshall Bratton,208.375.6490,208.375.6593,
CA-thirdround_2023,"4487 N. Dresden Place, Ste. 101","Boise, ID 83714",Marshall Bratton,208.375.6490,208.375.6593,
CA-thirdround_2023,"4487 N. Dresden Place, Ste. 101","Boise, ID 83714",Marshall Bratton,208.375.6490,208.375.6593,
CA-thirdround_2023,"1160 Battery St E building, 4th Floor","San Francisco, CA 94111",Mike Morrison,4153568025,,
CA-thirdround_2023,501 Congressional Blvd.,"Carmel, IN 46032",Jacob Buehler,317-819-6103,,
CA-thirdround_2023,"4487 N. Dresden Place, Ste. 101","Boise, ID 83714",Marshall Bratton,208.375.6490,208.375.6593,
CA-thirdround_2023,"400 Capitol Mall, Suite #1200","Sacramento, CA 95814",Brian Brewer,916-930-5279,916-442-9103,
CA-thirdround_2023,501 Congressional Blvd.,"Carmel, IN 46032",Jacob Buehler,317-819-6103,,
CA-thirdround_2023,P.O. Box 492,"Aubrey, TX 76227",Bernie Rea,209-933-9113,209-933-9115,
CA-thirdround_2023,P.O. Box 492,"Aubrey, TX 76227",Bernie Rea,2099339113,,
CA-thirdround_2023,P.O. Box 492,"Aubrey, X 76227","Bernard E. Rea, CPA",2099339113,2099339115,
CA-thirdround_2023,"621 Capital Mall, Suite 2150","Sacramento, CA 95814",Brian Brewer,916-930-5758,916-442-9103,
CA-thirdround_2023,501 Congressional Blvd,"Carmel, IN 46032",Nancy Morton,317-819-6141,,
CA-thirdround_2023,9261 Sierra College Boulevard,"Roseville, CA 95661",Justin Gierth,916-847-2738					,,
CA-thirdround_2023,"4487 N. Dresden Place, Ste. 101","Boise, ID 83714",Marshall Bratton,208.375.6490,208.375.6593,
CA-thirdround_2023,"90 New Montgomery, 11th Floor","San Francisco, CA 94105",Joe Li,415-957-9999,415-957-1629,
CA-thirdround_2023,501 Congressional Blvd Ste 300,"Carmel, Indiana, 46032",Heather Perry ,317.848.5700,317.815.6140,
CA-thirdround_2023,621 Capitol Mall Suite 2150,"Sacramento, CA 95814",,916-442-9100,,
CA-thirdround_2023,9261 Sierra College Blvd,"Roseville, CA 95661",Justin Gierth,916-751-2900,,
CA-thirdround_2023,"2810 Camino del Rio S, Ste 200","San Diego, CA 92108-3820",Jenny Kikuno,619-294-7200,619-294-7077,
CA-thirdround_2023,301 Howard St Suite 850,"San Francisco, CA 94105",Charlotte Tay,415-957-9999,,
CA-thirdround_2023,"525 North Tyson Street, Suite 1000","Charlotte, NC 28202",Nic Mathias,704-900-2013,704-900-2014,
CA-thirdround_2023,"1160 Battery St. East Building, 4th Floor","San Francisco, CA 94111",Lance Smith,415-223-6144,,
CA-thirdround_2023,1300 114th Ave SE Suite 240,"Bellevue, WA, 98004",Jack Hua,(425) 519-1211,,
CA-thirdround_2023,"211 E. Ocean Blvd., 6th Floor ","Long Beach, CA, 90802",Lance Smith,415-223-6144,,
CA-thirdround_2023,,,,,,
CA-thirdround_2023,"301 Howard Street, Suite 850","San Francisco, CA 94105",Scott Smith,415.957.9999,,
CA-thirdround_2023,501 Congressional Blvd,"Carmel, IN, 46032",Chris Thompson,3178196176,,
CA-thirdround_2023,501 Congressional Blvd,"Carmel, IN, 46032",Chris Thompson,3178196176,,
CA-thirdround_2023,"525 North Tyron Street, Suite 1000","Charlotte, NC 28202",Nic Mathias,704-900-2013,704-900-2014,
CA-thirdround_2023,501 Congressional Boulevard,"Carmel, Indiana 46032",Greg A. Wasiak,3178196145,3178156140,
CA-thirdround_2023,"621 Capital Mall, Ste 2150","Sacramento, CA 95814",Eric Jones,9164429100,,
CA-thirdround_2023,"301 Howard Street, Suite 850","San Francisco, CA 94105",Scott Smith,415.905.5487,415.957.1629,
